Año;Espacio Curricular;Horas;Cuatrimestre;Formato
1°;Pedagogía;3;Anual;Asignatura
1°;Práctica I: Instituciones Educativas Y Comunidad;3;Anual;Práctica
1°;Matemática;5;Anual;Asignatura
1°;Ciencias Naturales;4;Anual;Asignatura
1°;Prácticas Del Lenguaje;4;Anual;Asignatura
1°;Historia Social Argentina Y Latinoamericana;4;1° Cuat.;Asignatura
1°;Alfabetización Académica;4;1° Cuat.;Taller
1°;Cuerpo, Juego Y Expresión;3;1° Cuat.;Taller
1°;Psicología Educacional;4;2° Cuat.;Asignatura
1°;Educación Sexual Integral;3;2° Cuat.;Taller
2°;Práctica Ii: Enseñanza Y Curriculum;4;Anual;Práctica
2°;Didáctica General;4;Anual;Asignatura
2°;Ciencias Sociales;4;Anual;Asignatura
2°;Problemática De La Educación Primaria;4;Anual;Módulo
2°;Didáctica De La Matemática;4;Anual;Módulo
2°;Didáctica De Las Ciencias Naturales;4;Anual;Módulo
2°;Sujeto De La Educación Primaria I;4;Anual;Módulo
2°;Curriculum;4;1° Cuat.;Módulo
2°;Historia Y Política Educacional;4;2° Cuat.;Asignatura
3°;Práctica Iii: Práctica De La Enseñanza;6;Anual;Práctica
3°;Lenguajes Artísticos;3;Anual;Taller
3°;Alfabetización Inicial;4;Anual;Módulo
3°;Didáctica De Las Ciencias Sociales;4;Anual;Módulo
3°;Didáctica De Las Prácticas Del Lenguaje;4;Anual;Módulo
3°;Filosofía De La Educación;4;1° Cuat.;Asignatura
3°;Formación Ética Y Ciudadana;4;1° Cuat.;Módulo
3°;Sujeto De La Educación Primaria Ii;4;1° Cuat.;Módulo
3°;Sociología De La Educación;4;2° Cuat.;Asignatura
3°;Educación Física;3;2° Cuat.;Taller
4°;Práctica Iv: Residencia Pedagógica;10;Anual;Práctica
4°;Investigación Educativa;3;Anual;Taller
4°;Taller De Residencia De Matemática;4;Anual;Taller
4°;Taller De Residencia De Prácticas Del Lenguaje;4;Anual;Taller
4°;Taller De Residencia De Ciencias Naturales;4;Anual;Taller
4°;Taller De Residencia De Ciencias Sociales;4;Anual;Taller
4°;Proyectos Educativos Con Tic;3;1° Cuat.;Taller
1°;Edi:Regionalización Conociendo La Provincia;3;1° Cuat.;Taller
3°;Edi:Actos Escolares Como Prácticas Pedagógicas;3;2° Cuat.;Taller
4°;Edi:Literatura Infanto Juvenil;3;2° Cuat.;Taller
4°;Edi:Los Desafíos De La Formación Docente En Clave De Educación Inclusiva;3;2° Cuat.;Taller
